date,ticker,open,high,low,close,vwap,volume,turnover,status
20210903,000688.SH,1399.4653,1415.237,1382.6425,1400.8902,1400.8902,11395644.0,54303637.225,000688.SH
20210902,000688.SH,1416.1576,1424.1718,1395.5062,1399.4817,1399.4817,11488714.0,53149175.718,000688.SH
20210901,000688.SH,1437.2638,1438.3776,1400.1594,1424.6642,1424.6642,12748492.0,62190218.473,000688.SH
20210831,000688.SH,1463.1299,1463.5577,1423.5114,1441.1734,1441.1734,10729866.0,62148290.26,000688.SH
20210830,000688.SH,1487.8965,1508.7841,1463.403,1471.4549,1471.4549,11875582.0,69044750.194,000688.SH
20210827,000688.SH,1491.3405,1506.6457,1476.5555,1480.3135,1480.3135,10400805.0,58225637.132,000688.SH
20210826,000688.SH,1546.324,1555.0359,1494.8873,1497.3375,1497.3375,10721530.0,66111394.653,000688.SH
20210825,000688.SH,1573.7417,1574.395,1535.0926,1542.7755,1542.7755,10847549.0,67461347.058,000688.SH
20210824,000688.SH,1567.6996,1586.5219,1550.8781,1578.0306,1578.0306,11717098.0,69500388.7,000688.SH
20210823,000688.SH,1534.3905,1568.8396,1524.1951,1564.1108,1564.1108,11546176.0,67456763.825,000688.SH
20210820,000688.SH,1537.9117,1557.106,1514.0672,1529.0863,1529.0863,10376035.0,57383894.234,000688.SH
20210819,000688.SH,1509.7193,1553.1607,1508.1674,1546.11,1546.11,9872179.0,56067593.288,000688.SH
20210818,000688.SH,1514.4591,1530.2449,1501.1767,1507.9886,1507.9886,10366160.0,54323878.974,000688.SH
20210817,000688.SH,1544.4024,1555.4482,1506.7171,1509.2474,1509.2474,10909613.0,58317663.859,000688.SH
20210816,000688.SH,1547.3948,1565.9964,1535.3542,1547.931,1547.931,10953033.0,65695098.997,000688.SH
20210813,000688.SH,1580.1244,1588.2323,1549.6766,1552.7807,1552.7807,12574406.0,68917960.763,000688.SH
20210812,000688.SH,1572.1462,1604.7333,1570.3497,1586.5006,1586.5006,12889128.0,66518920.447,000688.SH
20210811,000688.SH,1589.4269,1593.1532,1564.9702,1578.7892,1578.7892,13221209.0,66406378.796,000688.SH
20210810,000688.SH,1574.0119,1592.827,1569.277,1588.1948,1588.1948,11203302.0,66588106.522,000688.SH
20210809,000688.SH,1567.4415,1582.9184,1548.6866,1574.4378,1574.4378,10713509.0,64946507.294,000688.SH
20210806,000688.SH,1630.3025,1639.1861,1575.4241,1586.6732,1586.6732,12602316.0,75773482.527,000688.SH
20210805,000688.SH,1606.6509,1616.0522,1584.3093,1604.8067,1604.8067,12622179.0,75699982.985,000688.SH
20210804,000688.SH,1566.4455,1608.498,1564.462,1605.8939,1605.8939,12551651.0,73505017.897,000688.SH
20210803,000688.SH,1586.3501,1593.0311,1558.1014,1564.1926,1564.1926,13659596.0,80646940.226,000688.SH
20210802,000688.SH,1594.0332,1619.3592,1572.1135,1599.4739,1599.4739,15124102.0,84982615.023,000688.SH
20210730,000688.SH,1582.5752,1608.9628,1570.4464,1591.2189,1591.2189,15280930.0,84057006.734,000688.SH
20210729,000688.SH,1554.1336,1598.3409,1545.1058,1588.4653,1588.4653,12811655.0,75953387.787,000688.SH
20210728,000688.SH,1532.4201,1555.246,1476.5899,1518.7027,1518.7027,13614854.0,72690828.02,000688.SH
20210727,000688.SH,1556.9327,1627.848,1541.3577,1545.2893,1545.2893,18598248.0,100863647.335,000688.SH
20210726,000688.SH,1559.8363,1566.676,1496.651,1556.979,1556.979,12628435.0,73792406.292,000688.SH
20210723,000688.SH,1593.3136,1593.7044,1548.3876,1563.4901,1563.4901,11488401.0,66628546.667,000688.SH
20210722,000688.SH,1570.4877,1584.3174,1549.447,1582.1315,1582.1315,12357063.0,73695829.527,000688.SH
20210721,000688.SH,1528.5975,1576.7745,1527.6022,1565.6381,1565.6381,9164912.0,53221651.744,000688.SH
20210720,000688.SH,1505.0779,1529.266,1501.9213,1522.6265,1522.6265,7907029.0,41626662.283,000688.SH
20210719,000688.SH,1514.8295,1530.5864,1503.1132,1514.1808,1514.1808,8526475.0,46666353.37,000688.SH
20210716,000688.SH,1568.1706,1569.2475,1523.6395,1525.2341,1525.2341,9509712.0,51914556.92,000688.SH
20210715,000688.SH,1549.277,1567.2733,1536.895,1560.7038,1560.7038,9376894.0,50086693.911,000688.SH
20210714,000688.SH,1579.0331,1585.6033,1556.6854,1556.7196,1556.7196,9198546.0,49704057.283,000688.SH
20210713,000688.SH,1602.1191,1621.714,1573.7824,1590.9772,1590.9772,11111536.0,59109874.205,000688.SH
20210712,000688.SH,1593.5735,1611.5968,1576.7171,1601.6058,1601.6058,10538463.0,61743101.788,000688.SH
20210709,000688.SH,1598.2811,1602.0001,1556.5771,1583.7142,1583.7142,10147818.0,56891995.38,000688.SH
20210708,000688.SH,1577.4971,1616.7019,1577.4094,1610.7749,1610.7749,11734788.0,66145754.568,000688.SH
20210707,000688.SH,1523.8271,1573.1517,1519.4098,1570.028,1570.028,10339861.0,56581070.465,000688.SH
20210706,000688.SH,1580.2838,1584.6855,1510.7134,1532.7917,1532.7917,11070754.0,64604987.629,000688.SH
20210705,000688.SH,1545.6784,1581.0663,1545.6784,1575.8944,1575.8944,9806062.0,59017051.094,000688.SH
20210702,000688.SH,1563.8279,1564.8776,1527.196,1538.1577,1538.1577,9514212.0,56474886.976,000688.SH
20210701,000688.SH,1587.5273,1594.1122,1569.9003,1579.8041,1579.8041,10411769.0,59093844.796,000688.SH
20210630,000688.SH,1564.3164,1603.3523,1558.9567,1588.2167,1588.2167,11534991.0,61925901.624,000688.SH
20210629,000688.SH,1567.8825,1576.8712,1546.6782,1562.0783,1562.0783,10390392.0,51286649.082,000688.SH
20210628,000688.SH,1538.0184,1579.2213,1536.7115,1562.9795,1562.9795,10952572.0,55064925.604,000688.SH
20210625,000688.SH,1505.2867,1536.504,1502.8909,1534.8494,1534.8494,10854452.0,50140701.684,000688.SH
20210624,000688.SH,1531.2377,1537.5767,1496.9428,1504.8079,1504.8079,14070093.0,52396247.766,000688.SH
20210623,000688.SH,1530.6356,1551.9191,1516.6888,1534.3008,1534.3008,16034833.0,60476807.451,000688.SH
20210622,000688.SH,1531.5201,1534.4254,1506.3066,1523.3628,1523.3628,19707938.0,52742259.842,000688.SH
20210621,000688.SH,1485.66,1529.2843,1482.4864,1528.1267,1528.1267,10219505.0,51327326.484,000688.SH
20210618,000688.SH,1475.2089,1499.8239,1474.6843,1494.7009,1494.7009,10061074.0,49393830.003,000688.SH
20210617,000688.SH,1409.0464,1477.049,1409.0464,1473.5119,1473.5119,11908654.0,50681775.516,000688.SH
20210616,000688.SH,1452.9459,1454.9208,1404.689,1406.4701,1406.4701,8539387.0,40793261.35,000688.SH
20210615,000688.SH,1442.0868,1467.4683,1435.0533,1448.2004,1448.2004,10071064.0,45159091.638,000688.SH
20210611,000688.SH,1453.5999,1455.6558,1433.0607,1436.2754,1436.2754,10683273.0,50396679.24,000688.SH
20210610,000688.SH,1427.8708,1455.8284,1426.4914,1450.4038,1450.4038,10102674.0,44182355.496,000688.SH
20210609,000688.SH,1420.3062,1442.1619,1417.7675,1427.321,1427.321,8264218.0,38843313.291,000688.SH
20210608,000688.SH,1443.7446,1446.3779,1411.2287,1419.0751,1419.0751,9490826.0,44630369.656,000688.SH
20210607,000688.SH,1443.8616,1451.3862,1425.1148,1433.565,1433.565,10420182.0,42593187.431,000688.SH
